epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6037,2.79505,7.25875,1.98542,0.00717,0.01765,0.004,0.0009,2.357,5.6561,1.7781,6.921e-05,6.921e-05,6.921e-05
2,15.2577,2.20754,4.64103,1.63224,0.36438,0.11378,0.1168,0.06487,1.57464,6.29842,1.2623,0.000145146,0.000145146,0.000145146
3,18.2202,1.60193,2.8381,1.26921,0.29724,0.3784,0.19732,0.10821,1.41589,4.37529,1.16051,0.000220066,0.000220066,0.000220066
4,21.2597,1.37557,2.34164,1.15466,0.34428,0.34115,0.28234,0.15907,1.39115,2.89586,1.12254,0.000293972,0.000293972,0.000293972
5,24.3156,1.32838,2.08179,1.13718,0.39209,0.5822,0.32959,0.18964,1.46451,2.56804,1.07438,0.000366862,0.000366862,0.000366862
6,31.2384,1.30471,1.82274,1.09192,0.42979,0.63522,0.35762,0.20459,1.38374,2.12051,1.06691,0.000438738,0.000438738,0.000438738
7,34.1365,1.25872,1.61983,1.07789,0.44767,0.68113,0.40308,0.23722,1.34962,2.31972,1.05521,0.000509598,0.000509598,0.000509598
8,37.0353,1.3062,1.82441,1.10373,0.4431,0.60591,0.40663,0.22773,1.44725,1.75372,1.10015,0.000579443,0.000579443,0.000579443
9,39.6998,1.31165,1.71218,1.08695,0.50624,0.58209,0.41537,0.23021,1.42459,1.91203,1.10039,0.000648273,0.000648273,0.000648273
10,46.3793,1.27866,1.58111,1.07941,0.4412,0.56725,0.40965,0.21165,1.55993,1.58141,1.12211,0.000716088,0.000716088,0.000716088
11,49.3253,1.29839,1.54289,1.06829,0.55337,0.5174,0.4155,0.22077,1.49889,1.41445,1.09776,0.000718246,0.000718246,0.000718246
12,52.2305,1.25364,1.52318,1.07599,0.45907,0.55945,0.44075,0.23085,1.45721,1.54417,1.08824,0.000713171,0.000713171,0.000713171
13,58.8303,1.23843,1.52469,1.05897,0.44268,0.46371,0.42178,0.2331,1.49092,1.67419,1.10515,0.000708095,0.000708095,0.000708095
14,61.4646,1.19649,1.41794,1.026,0.49497,0.41882,0.36839,0.20292,1.61956,1.7193,1.15321,0.00070302,0.00070302,0.00070302
15,64.0499,1.25181,1.46632,1.09268,0.61534,0.34041,0.34843,0.18662,1.73039,1.89933,1.19571,0.000697944,0.000697944,0.000697944
16,66.6048,1.19463,1.44066,1.04588,0.44804,0.35395,0.33545,0.17211,1.72935,1.88325,1.18806,0.000692869,0.000692869,0.000692869
17,69.1686,1.22682,1.53919,1.05937,0.45731,0.45361,0.36022,0.196,1.5305,1.68043,1.0866,0.000687794,0.000687794,0.000687794
18,71.8616,1.19356,1.33469,1.05579,0.44735,0.50381,0.37953,0.2117,1.43968,1.67596,1.06272,0.000682718,0.000682718,0.000682718
19,76.8525,1.16387,1.45903,1.02133,0.42975,0.53324,0.39849,0.21833,1.47155,1.62155,1.07295,0.000677643,0.000677643,0.000677643
20,79.5988,1.20934,1.29575,1.02809,0.457,0.54917,0.40936,0.21478,1.51808,1.52258,1.08526,0.000672567,0.000672567,0.000672567
21,83.1326,1.14741,1.2582,1.00414,0.54746,0.521,0.42789,0.24854,1.41533,1.4794,1.06677,0.000667492,0.000667492,0.000667492
22,86.3992,1.14915,1.2535,1.03046,0.56579,0.49024,0.44688,0.24594,1.47984,1.67604,1.12678,0.000662417,0.000662417,0.000662417
23,89.0181,1.17822,1.28385,1.01235,0.56408,0.52131,0.49123,0.28458,1.39189,1.56478,1.06056,0.000657341,0.000657341,0.000657341
24,91.789,1.13547,1.19812,1.03484,0.43646,0.58032,0.48268,0.28015,1.39778,1.52171,1.06173,0.000652266,0.000652266,0.000652266
