epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.775,1.49452,0.64081,0.78638,0.87855,0.80637,0.87802,0.5639,1.42328,0.56123,0.72913,0.000655556,0.000655556,0.000655556
2,52.671,1.59804,0.66964,0.79753,0.83931,0.75874,0.85184,0.53684,1.43713,0.60704,0.73189,0.0012895,0.0012895,0.0012895
3,74.203,1.63144,0.69848,0.79591,0.84946,0.78827,0.83983,0.52637,1.43857,0.60837,0.74228,0.00189044,0.00189044,0.00189044
4,96.1016,1.68308,0.70532,0.79798,0.81608,0.79875,0.84091,0.50631,1.51613,0.60074,0.73485,0.0018515,0.0018515,0.0018515
5,113.153,1.60235,0.68452,0.79685,0.85493,0.82067,0.86568,0.54588,1.41921,0.55314,0.72837,0.001802,0.001802,0.001802
6,138.068,1.62557,0.69218,0.79245,0.84315,0.80365,0.85135,0.54179,1.37588,0.58794,0.73413,0.0017525,0.0017525,0.0017525
7,192.491,1.54841,0.67321,0.79376,0.8422,0.80767,0.84919,0.55183,1.3524,0.58263,0.72408,0.001703,0.001703,0.001703
8,220.186,1.59321,0.69818,0.79441,0.8207,0.78904,0.84245,0.5262,1.50656,0.65345,0.74284,0.0016535,0.0016535,0.0016535
9,237.857,1.65755,0.69586,0.78925,0.83461,0.81356,0.86951,0.54361,1.42986,0.60464,0.73223,0.001604,0.001604,0.001604
10,256.729,1.65466,0.67795,0.7947,0.85933,0.78283,0.86735,0.53805,1.41964,0.61041,0.72482,0.0015545,0.0015545,0.0015545
11,275.288,1.55129,0.65565,0.79107,0.86073,0.8092,0.8628,0.56593,1.36493,0.5701,0.73269,0.001505,0.001505,0.001505
12,295.237,1.56938,0.67411,0.7936,0.80314,0.71243,0.81223,0.47546,1.56836,0.68361,0.7374,0.0014555,0.0014555,0.0014555
13,400.474,1.6398,0.68535,0.79366,0.91506,0.78108,0.8699,0.54591,1.44261,0.5806,0.73986,0.001406,0.001406,0.001406
14,417.761,1.58546,0.64988,0.78588,0.86437,0.79721,0.86076,0.54551,1.38724,0.60237,0.7352,0.0013565,0.0013565,0.0013565
15,437.985,1.63418,0.66511,0.78866,0.89478,0.7922,0.87305,0.55358,1.38252,0.55244,0.72333,0.001307,0.001307,0.001307
16,455.119,1.55251,0.63654,0.79404,0.86775,0.80876,0.87235,0.57718,1.3181,0.53901,0.72137,0.0012575,0.0012575,0.0012575
17,472.803,1.51766,0.63098,0.79178,0.87601,0.8189,0.86889,0.56132,1.32744,0.54169,0.72081,0.001208,0.001208,0.001208
18,495.6,1.47848,0.62083,0.79445,0.87493,0.82881,0.87686,0.58659,1.32253,0.52603,0.72526,0.0011585,0.0011585,0.0011585
19,513.842,1.43546,0.6146,0.78573,0.84888,0.82369,0.86795,0.57316,1.35849,0.56226,0.72396,0.001109,0.001109,0.001109
20,531.898,1.49603,0.61775,0.79041,0.85591,0.81559,0.87406,0.5415,1.40026,0.55512,0.71956,0.0010595,0.0010595,0.0010595
21,548.927,1.53168,0.62924,0.78785,0.88684,0.80669,0.8804,0.58495,1.31958,0.5299,0.72013,0.00101,0.00101,0.00101
22,566.097,1.54192,0.61556,0.78858,0.86373,0.82391,0.87374,0.57053,1.34843,0.54786,0.72283,0.0009605,0.0009605,0.0009605
23,604.995,1.49647,0.63412,0.7857,0.88828,0.80342,0.87864,0.56623,1.40296,0.55112,0.72092,0.000911,0.000911,0.000911
24,627.496,1.43096,0.60681,0.78278,0.87767,0.8226,0.88068,0.59487,1.2817,0.53534,0.72018,0.0008615,0.0008615,0.0008615
25,652.586,1.44855,0.6041,0.78352,0.88315,0.83066,0.89169,0.6083,1.26674,0.51635,0.71686,0.000812,0.000812,0.000812
26,683.319,1.42729,0.59215,0.78499,0.90896,0.82914,0.89518,0.6169,1.2242,0.49729,0.71496,0.0007625,0.0007625,0.0007625
27,704.007,1.43342,0.59336,0.78804,0.89738,0.83589,0.8986,0.60758,1.24674,0.50654,0.71382,0.000713,0.000713,0.000713
28,728.14,1.43425,0.59282,0.78194,0.89194,0.83284,0.89538,0.6013,1.27356,0.5282,0.71736,0.0006635,0.0006635,0.0006635
29,745.927,1.44437,0.5903,0.77988,0.91557,0.81658,0.88962,0.61551,1.23528,0.51171,0.71286,0.000614,0.000614,0.000614
