epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,766.264,1.41967,0.58244,0.77559,0.90403,0.83012,0.89379,0.60682,1.23112,0.49667,0.7174,0.0005645,0.0005645,0.0005645
31,800.782,1.4161,0.63718,0.79982,0.89118,0.82162,0.878,0.59856,1.23805,0.51783,0.71258,0.000515,0.000515,0.000515
32,816.614,1.3897,0.625,0.79572,0.90441,0.83132,0.8996,0.5937,1.29726,0.52505,0.71864,0.0004655,0.0004655,0.0004655
33,832.718,1.41375,0.60963,0.80073,0.88297,0.83448,0.8881,0.60021,1.26481,0.50663,0.71337,0.000416,0.000416,0.000416
34,848.807,1.39856,0.59448,0.79783,0.89809,0.8275,0.88817,0.60926,1.21341,0.52059,0.71631,0.0003665,0.0003665,0.0003665
35,864.625,1.34707,0.59576,0.79853,0.88416,0.83524,0.88979,0.60135,1.26227,0.51148,0.71711,0.000317,0.000317,0.000317
36,880.571,1.36433,0.58886,0.79642,0.89568,0.83734,0.90132,0.61726,1.20749,0.49676,0.71406,0.0002675,0.0002675,0.0002675
37,896.514,1.34448,0.57458,0.79242,0.90442,0.84581,0.90559,0.62723,1.21742,0.51093,0.71986,0.000218,0.000218,0.000218
38,912.663,1.32762,0.56234,0.79032,0.87456,0.84025,0.89277,0.62332,1.20539,0.49974,0.71245,0.0001685,0.0001685,0.0001685
39,929.034,1.32272,0.55869,0.78511,0.88861,0.83363,0.89388,0.61845,1.20197,0.49151,0.70946,0.000119,0.000119,0.000119
40,946.812,1.27637,0.55426,0.79753,0.90359,0.83862,0.9021,0.62962,1.18476,0.48757,0.71112,6.95e-05,6.95e-05,6.95e-05
