epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9657,1.38437,0.57914,0.77237,0.90423,0.82489,0.89265,0.59273,1.29552,0.51821,0.71649,0.000655556,0.000655556,0.000655556
2,46.5883,1.46681,0.61237,0.78256,0.8032,0.7898,0.82524,0.51186,1.4284,0.59487,0.72507,0.0012895,0.0012895,0.0012895
3,71.811,1.54352,0.64222,0.78558,0.87183,0.81012,0.8604,0.55635,1.37224,0.5792,0.71754,0.00189044,0.00189044,0.00189044
4,93.9305,1.5609,0.64679,0.78412,0.91144,0.81737,0.88302,0.54986,1.41994,0.55818,0.71828,0.0018515,0.0018515,0.0018515
5,111.475,1.54245,0.63486,0.78439,0.90009,0.81094,0.87962,0.56165,1.41802,0.58169,0.73352,0.001802,0.001802,0.001802
6,138.132,1.56855,0.63387,0.78191,0.89852,0.81301,0.88129,0.54419,1.41415,0.55101,0.7147,0.0017525,0.0017525,0.0017525
7,195.743,1.57175,0.63258,0.78246,0.89413,0.80724,0.8775,0.54473,1.42617,0.54884,0.7148,0.001703,0.001703,0.001703
8,226.597,1.52254,0.61635,0.78105,0.90703,0.81324,0.88656,0.5896,1.33542,0.53814,0.7204,0.0016535,0.0016535,0.0016535
9,253.397,1.52765,0.61366,0.77412,0.907,0.81726,0.88938,0.58968,1.31205,0.50176,0.7134,0.001604,0.001604,0.001604
10,280.242,1.50323,0.60526,0.77933,0.87826,0.82855,0.89008,0.59009,1.23662,0.50716,0.70902,0.0015545,0.0015545,0.0015545
11,307.709,1.43287,0.5907,0.77665,0.9016,0.82946,0.88979,0.61163,1.28149,0.52375,0.72324,0.001505,0.001505,0.001505
12,329.669,1.42584,0.58913,0.778,0.87486,0.81715,0.87604,0.58197,1.29668,0.56647,0.72343,0.0014555,0.0014555,0.0014555
13,377.307,1.45258,0.61277,0.77871,0.89011,0.79439,0.85866,0.57831,1.29535,0.5709,0.73512,0.001406,0.001406,0.001406
14,396.488,1.48777,0.60758,0.77789,0.8737,0.79149,0.85045,0.53723,1.41635,0.62505,0.74896,0.0013565,0.0013565,0.0013565
15,418.022,1.56303,0.62147,0.7777,0.92554,0.80767,0.88946,0.59205,1.30226,0.54119,0.72354,0.001307,0.001307,0.001307
16,437.934,1.46675,0.60923,0.78276,0.88216,0.83124,0.8897,0.59204,1.3178,0.53222,0.71868,0.0012575,0.0012575,0.0012575
17,458.149,1.44263,0.60413,0.78246,0.90332,0.81682,0.88797,0.59563,1.26737,0.51342,0.70722,0.001208,0.001208,0.001208
18,524.407,1.42803,0.59563,0.78464,0.9014,0.83557,0.89185,0.5747,1.33626,0.55078,0.72331,0.0011585,0.0011585,0.0011585
19,575.11,1.39932,0.57832,0.77702,0.8961,0.82517,0.8907,0.58139,1.36121,0.53361,0.71726,0.001109,0.001109,0.001109
20,604.674,1.41554,0.57622,0.77709,0.89252,0.82979,0.89089,0.61327,1.2092,0.49251,0.70823,0.0010595,0.0010595,0.0010595
21,622.076,1.43918,0.58098,0.77533,0.89804,0.83402,0.89193,0.60184,1.25249,0.49826,0.70839,0.00101,0.00101,0.00101
22,639.916,1.43381,0.57226,0.77806,0.90795,0.83371,0.89634,0.60914,1.24246,0.50231,0.71408,0.0009605,0.0009605,0.0009605
23,663.837,1.37704,0.57904,0.77364,0.92676,0.82805,0.89701,0.62531,1.20063,0.49172,0.7101,0.000911,0.000911,0.000911
24,681.812,1.33514,0.55929,0.77573,0.89404,0.83666,0.89603,0.6182,1.23242,0.51578,0.71414,0.0008615,0.0008615,0.0008615
25,703.02,1.3775,0.5782,0.77539,0.90649,0.82936,0.89185,0.61762,1.22153,0.4984,0.71243,0.000812,0.000812,0.000812
26,729.62,1.36693,0.57424,0.77863,0.91536,0.83524,0.89497,0.61534,1.20053,0.48606,0.70855,0.0007625,0.0007625,0.0007625
27,753.71,1.38382,0.57859,0.78112,0.90987,0.82478,0.89155,0.60822,1.23859,0.52152,0.71817,0.000713,0.000713,0.000713
28,772.217,1.37314,0.56753,0.77692,0.90252,0.83742,0.89401,0.6133,1.21951,0.49577,0.70859,0.0006635,0.0006635,0.0006635
29,796.542,1.3933,0.57096,0.7732,0.90528,0.83404,0.89382,0.61873,1.20758,0.50317,0.71516,0.000614,0.000614,0.000614
30,852.969,1.37054,0.55911,0.76947,0.90149,0.8277,0.89175,0.60912,1.22432,0.49064,0.71464,0.0005645,0.0005645,0.0005645
31,896.589,1.35794,0.61789,0.79465,0.90309,0.82794,0.8853,0.59795,1.25703,0.50813,0.71606,0.000515,0.000515,0.000515
32,912.621,1.33775,0.60353,0.79066,0.90003,0.82706,0.89491,0.60829,1.24508,0.52845,0.71431,0.0004655,0.0004655,0.0004655
33,928.268,1.35047,0.57877,0.79362,0.90552,0.81251,0.8865,0.61028,1.2318,0.5029,0.71415,0.000416,0.000416,0.000416
