epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,892.624,1.58064,0.64556,0.78944,0.87735,0.80288,0.88147,0.58262,1.33707,0.55417,0.72725,0.000614,0.000614,0.000614
30,947.398,1.57957,0.64217,0.7855,0.88593,0.81693,0.87969,0.58805,1.34492,0.55549,0.73124,0.0005645,0.0005645,0.0005645
31,983.76,1.52707,0.66642,0.80893,0.87242,0.81222,0.86966,0.56149,1.37779,0.56542,0.7239,0.000515,0.000515,0.000515
32,998.507,1.52046,0.66579,0.80413,0.88641,0.81121,0.87333,0.57702,1.34842,0.55827,0.72905,0.0004655,0.0004655,0.0004655
33,1013.37,1.46256,0.62824,0.80745,0.86791,0.80549,0.86883,0.55565,1.36784,0.55568,0.72553,0.000416,0.000416,0.000416
34,1028.48,1.49916,0.62729,0.80275,0.87265,0.80196,0.87318,0.57686,1.35263,0.56451,0.72772,0.0003665,0.0003665,0.0003665
35,1043.65,1.45643,0.61078,0.79752,0.88106,0.80833,0.87562,0.58823,1.32277,0.56019,0.73041,0.000317,0.000317,0.000317
36,1058.91,1.42554,0.60808,0.80526,0.88805,0.8153,0.88291,0.59148,1.31906,0.52905,0.72559,0.0002675,0.0002675,0.0002675
37,1074.12,1.42198,0.62099,0.80175,0.88771,0.81406,0.8858,0.59589,1.32178,0.5422,0.72534,0.000218,0.000218,0.000218
38,1089.27,1.40813,0.59542,0.80248,0.89854,0.82009,0.89007,0.60342,1.28027,0.52973,0.72215,0.0001685,0.0001685,0.0001685
39,1104.38,1.41093,0.6004,0.80505,0.89589,0.80923,0.88599,0.59955,1.27968,0.52816,0.72129,0.000119,0.000119,0.000119
40,1119.64,1.37587,0.58478,0.7997,0.89706,0.81922,0.88937,0.60875,1.26992,0.52024,0.72128,6.95e-05,6.95e-05,6.95e-05
