epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1501,1.88754,0.80189,0.82129,0.79289,0.69124,0.77352,0.40242,1.7019,0.71589,0.7586,0.000654762,0.000654762,0.000654762
2,64.0328,1.89385,0.84117,0.83833,0.78276,0.70715,0.76953,0.42201,1.71978,0.76591,0.77414,0.00128872,0.00128872,0.00128872
3,82.9715,2.08951,0.85919,0.83025,0.78987,0.70709,0.76853,0.38133,1.82155,0.73531,0.76969,0.00188968,0.00188968,0.00188968
4,101.581,1.98098,0.83727,0.83171,0.72911,0.7646,0.77028,0.39859,1.80447,0.70583,0.76532,0.0018515,0.0018515,0.0018515
5,130.767,1.93739,0.83479,0.82168,0.78536,0.75384,0.79866,0.42688,1.75679,0.69103,0.76237,0.001802,0.001802,0.001802
6,211.856,1.84425,0.76954,0.82471,0.81395,0.73597,0.79464,0.41214,1.69676,0.6904,0.7561,0.0017525,0.0017525,0.0017525
7,242.186,1.86256,0.77881,0.81624,0.80783,0.78054,0.829,0.4675,1.6296,0.65898,0.75666,0.001703,0.001703,0.001703
8,313.539,1.78295,0.75884,0.81684,0.78,0.71202,0.79907,0.45822,1.62621,0.70002,0.7433,0.0016535,0.0016535,0.0016535
9,329.142,1.7788,0.74626,0.82167,0.80989,0.73292,0.81006,0.45738,1.57483,0.67143,0.7389,0.001604,0.001604,0.001604
10,344.983,1.78791,0.75096,0.81113,0.75653,0.7351,0.78788,0.46268,1.60039,0.69302,0.74995,0.0015545,0.0015545,0.0015545
11,363.418,1.80083,0.75963,0.8145,0.79175,0.79808,0.82085,0.47855,1.53238,0.62311,0.74495,0.001505,0.001505,0.001505
12,383.374,1.75279,0.73139,0.81107,0.81315,0.77156,0.81394,0.48278,1.54398,0.62727,0.74334,0.0014555,0.0014555,0.0014555
13,401.161,1.7126,0.74462,0.81037,0.84859,0.77912,0.84022,0.48979,1.51354,0.62624,0.73997,0.001406,0.001406,0.001406
14,417.303,1.75784,0.75041,0.8061,0.82433,0.78029,0.84507,0.48077,1.54766,0.61321,0.73738,0.0013565,0.0013565,0.0013565
15,433.17,1.7459,0.72626,0.80564,0.85742,0.76572,0.85007,0.52507,1.44783,0.5939,0.72904,0.001307,0.001307,0.001307
16,479.247,1.73053,0.7048,0.80029,0.8377,0.79752,0.85592,0.51329,1.4785,0.60684,0.73582,0.0012575,0.0012575,0.0012575
17,503.677,1.68496,0.68203,0.8035,0.84998,0.79231,0.85904,0.51335,1.50749,0.60844,0.73306,0.001208,0.001208,0.001208
18,520.419,1.65024,0.67533,0.7967,0.87671,0.78726,0.86527,0.55444,1.38784,0.58398,0.73802,0.0011585,0.0011585,0.0011585
19,563.715,1.64281,0.68357,0.7987,0.85665,0.80357,0.86118,0.56692,1.37029,0.57151,0.73244,0.001109,0.001109,0.001109
20,598.316,1.58918,0.66501,0.79788,0.85533,0.80418,0.86856,0.54842,1.46456,0.58855,0.73559,0.0010595,0.0010595,0.0010595
21,621.1,1.61249,0.65319,0.79269,0.83124,0.80615,0.85995,0.53436,1.44433,0.582,0.7323,0.00101,0.00101,0.00101
22,637.484,1.5946,0.65322,0.792,0.83205,0.80653,0.85226,0.54029,1.43823,0.5633,0.73121,0.0009605,0.0009605,0.0009605
23,653.846,1.60306,0.65087,0.79058,0.85435,0.80615,0.87157,0.55874,1.40402,0.57617,0.73053,0.000911,0.000911,0.000911
24,671.816,1.61375,0.65921,0.78355,0.856,0.82707,0.87588,0.55549,1.38817,0.54482,0.72361,0.0008615,0.0008615,0.0008615
25,696.886,1.59625,0.65796,0.79247,0.86297,0.79054,0.86481,0.56071,1.41914,0.59078,0.73489,0.000812,0.000812,0.000812
26,714.877,1.57866,0.65773,0.78987,0.81731,0.77706,0.84516,0.49741,1.54532,0.63473,0.73123,0.0007625,0.0007625,0.0007625
27,803.508,1.58651,0.65728,0.7909,0.87447,0.80571,0.87422,0.56802,1.3558,0.54754,0.72421,0.000713,0.000713,0.000713
28,819.256,1.55219,0.6405,0.78719,0.87015,0.81128,0.87781,0.56547,1.36389,0.55755,0.7292,0.0006635,0.0006635,0.0006635
