epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,53.1911,1.21578,1.56121,1.03018,0.49281,0.53061,0.45012,0.23295,1.68178,1.79481,1.19589,0.000594046,0.000594046,0.000594046
20,54.9329,1.24727,1.64123,1.08318,0.54318,0.52381,0.50227,0.26268,1.63395,1.79539,1.16185,0.000618108,0.000618108,0.000618108
21,57.5565,1.16192,1.53988,0.9927,0.54318,0.52381,0.50227,0.26268,1.63395,1.79539,1.16185,0.000616738,0.000616738,0.000616738
22,60.7842,1.18884,1.53832,1.01784,0.60559,0.59524,0.55263,0.30135,1.51604,1.43648,1.11114,0.000609125,0.000609125,0.000609125
23,62.655,1.23174,1.46597,1.03273,0.59886,0.64153,0.57079,0.33464,1.56744,1.31286,1.13698,0.000601512,0.000601512,0.000601512
24,64.3953,1.24974,1.34845,1.06093,0.59886,0.64153,0.57079,0.33464,1.56744,1.31286,1.13698,0.000593899,0.000593899,0.000593899
25,69.475,1.24247,1.34574,1.04225,0.73038,0.62383,0.62154,0.34837,1.58378,1.27838,1.15271,0.000586286,0.000586286,0.000586286
26,71.1939,1.19015,1.36821,1.01826,0.73038,0.62383,0.62154,0.34837,1.58378,1.27838,1.15271,0.000578672,0.000578672,0.000578672
27,73.5037,1.10503,1.40625,1.00932,0.63755,0.70364,0.61041,0.31855,1.58247,1.29669,1.18571,0.000571059,0.000571059,0.000571059
28,75.1439,1.13801,1.21677,1.00963,0.64198,0.61207,0.57461,0.30706,1.58346,1.36481,1.20665,0.000563446,0.000563446,0.000563446
29,76.825,1.2015,1.33126,1.02304,0.64198,0.61207,0.57461,0.30706,1.58346,1.36481,1.20665,0.000555833,0.000555833,0.000555833
30,80.7636,1.19319,1.3467,1.04139,0.5527,0.69221,0.60057,0.33937,1.5132,1.42928,1.16187,0.00054822,0.00054822,0.00054822
31,82.3465,1.14782,1.28575,1.00332,0.55229,0.65096,0.55748,0.32792,1.47325,1.52424,1.14524,0.000540607,0.000540607,0.000540607
32,84.0205,1.19073,1.23218,0.99425,0.55229,0.65096,0.55748,0.32792,1.47325,1.52424,1.14524,0.000532994,0.000532994,0.000532994
33,87.7654,1.15052,1.23526,1.01111,0.54491,0.65918,0.53017,0.2945,1.57383,1.43535,1.18479,0.000525381,0.000525381,0.000525381
34,89.3149,1.1179,1.07281,0.98609,0.54491,0.65918,0.53017,0.2945,1.57383,1.43535,1.18479,0.000517768,0.000517768,0.000517768
35,92.3672,1.04908,1.06155,0.96752,0.56074,0.57739,0.59886,0.34511,1.50593,1.35122,1.14023,0.000510155,0.000510155,0.000510155
36,95.5169,1.08437,1.2518,0.97698,0.60201,0.6608,0.61931,0.35972,1.51931,1.38405,1.11771,0.000502541,0.000502541,0.000502541
37,100.967,1.08349,1.08813,0.99523,0.60201,0.6608,0.61931,0.35972,1.51931,1.38405,1.11771,0.000494928,0.000494928,0.000494928
38,109.328,1.10337,1.15157,1.02462,0.57986,0.75247,0.60752,0.3671,1.48501,1.32085,1.11247,0.000487315,0.000487315,0.000487315
39,111.092,1.07734,1.08017,0.97702,0.52031,0.6578,0.56918,0.36064,1.34283,1.38269,1.07935,0.000479702,0.000479702,0.000479702
40,115.613,1.09272,1.06461,0.99768,0.52031,0.6578,0.56918,0.36064,1.34283,1.38269,1.07935,0.000472089,0.000472089,0.000472089
41,119.423,1.09945,1.10065,1.00543,0.47846,0.50055,0.47322,0.30837,1.28229,1.70453,1.0648,0.000464476,0.000464476,0.000464476
42,121.018,1.07732,1.05819,0.99414,0.47846,0.50055,0.47322,0.30837,1.28229,1.70453,1.0648,0.000456863,0.000456863,0.000456863
43,125.068,1.07952,1.00704,0.99925,0.38741,0.70243,0.46132,0.3071,1.3188,2.16429,1.07487,0.00044925,0.00044925,0.00044925
44,129.033,1.11836,1.0839,0.98667,0.3936,0.73494,0.49967,0.31599,1.38315,1.94874,1.08219,0.000441637,0.000441637,0.000441637
45,130.6,1.04525,0.91246,0.97463,0.3936,0.73494,0.49967,0.31599,1.38315,1.94874,1.08219,0.000434024,0.000434024,0.000434024
46,132.204,1.0668,0.94679,0.94882,0.67156,0.51874,0.60135,0.33165,1.48603,1.63836,1.08646,0.000426411,0.000426411,0.000426411
47,133.795,1.11527,0.98803,0.9825,0.57163,0.65851,0.63591,0.33768,1.48219,1.31275,1.0841,0.000418797,0.000418797,0.000418797
48,135.356,1.17515,1.0748,1.00413,0.57163,0.65851,0.63591,0.33768,1.48219,1.31275,1.0841,0.000411184,0.000411184,0.000411184
49,138.184,1.05155,0.92166,0.97038,0.55683,0.73503,0.64137,0.3763,1.41802,1.35226,1.06404,0.000403571,0.000403571,0.000403571
50,140.606,1.07015,1.02465,0.96172,0.55683,0.73503,0.64137,0.3763,1.41802,1.35226,1.06404,0.000395958,0.000395958,0.000395958
51,149.132,1.04951,0.90741,0.95832,0.56935,0.68672,0.67767,0.39733,1.34533,1.39968,1.05064,0.000388345,0.000388345,0.000388345
52,150.948,1.0696,0.9531,0.9726,0.57067,0.61333,0.65776,0.39627,1.33597,1.42604,1.06251,0.000380732,0.000380732,0.000380732
53,156.165,1.04791,1.02749,0.98223,0.57067,0.61333,0.65776,0.39627,1.33597,1.42604,1.06251,0.000373119,0.000373119,0.000373119
54,157.823,1.03113,0.96062,0.9712,0.54068,0.64021,0.64327,0.39053,1.37327,1.58577,1.08181,0.000365506,0.000365506,0.000365506
55,159.507,1.03892,0.98781,0.96232,0.53072,0.56054,0.60527,0.3582,1.38346,1.71526,1.09434,0.000357893,0.000357893,0.000357893
56,161.123,1.03206,0.92449,0.97272,0.53072,0.56054,0.60527,0.3582,1.38346,1.71526,1.09434,0.00035028,0.00035028,0.00035028
57,162.877,0.97897,0.89785,0.95793,0.55633,0.51133,0.61328,0.35571,1.39009,1.7149,1.09507,0.000342666,0.000342666,0.000342666
58,164.43,0.99591,0.8841,0.94472,0.55633,0.51133,0.61328,0.35571,1.39009,1.7149,1.09507,0.000335053,0.000335053,0.000335053
59,166.038,0.99158,0.80733,0.94527,0.64251,0.50956,0.62982,0.35507,1.38599,1.51091,1.0725,0.00032744,0.00032744,0.00032744
60,167.695,1.04719,0.91447,0.94789,0.60867,0.64002,0.66655,0.38384,1.38953,1.38159,1.06114,0.000319827,0.000319827,0.000319827
61,169.239,0.99691,0.82714,0.95008,0.60867,0.64002,0.66655,0.38384,1.38953,1.38159,1.06114,0.000312214,0.000312214,0.000312214
62,170.819,1.02799,0.85955,0.96785,0.48449,0.75419,0.69807,0.37468,1.4087,1.41398,1.06937,0.000304601,0.000304601,0.000304601
63,172.394,0.99941,0.85447,0.94267,0.40958,0.70956,0.65883,0.35394,1.38726,1.62562,1.083,0.000296988,0.000296988,0.000296988
64,173.916,0.96126,0.8337,0.94596,0.40958,0.70956,0.65883,0.35394,1.38726,1.62562,1.083,0.000289375,0.000289375,0.000289375
65,177.878,0.95957,0.81588,0.92692,0.64731,0.47926,0.56093,0.34089,1.37282,1.862,1.10494,0.000281762,0.000281762,0.000281762
66,179.427,0.92591,0.88892,0.92472,0.64731,0.47926,0.56093,0.34089,1.37282,1.862,1.10494,0.000274148,0.000274148,0.000274148
67,181.47,0.95612,0.85562,0.94953,0.5992,0.4418,0.57617,0.34619,1.40593,1.84067,1.1213,0.000266535,0.000266535,0.000266535
68,183.068,0.95706,0.80756,0.96089,0.61412,0.46032,0.58398,0.35045,1.42246,1.63085,1.12885,0.000258922,0.000258922,0.000258922
69,184.591,0.96186,0.82305,0.94938,0.61412,0.46032,0.58398,0.35045,1.42246,1.63085,1.12885,0.000251309,0.000251309,0.000251309
70,186.151,1.05062,0.93318,0.97396,0.58975,0.51941,0.56388,0.35825,1.39831,1.55289,1.11896,0.000243696,0.000243696,0.000243696
71,187.738,0.94379,0.73053,0.92857,0.65597,0.42598,0.54515,0.35335,1.37412,1.54473,1.10547,0.000236083,0.000236083,0.000236083
