epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.31629,2.91239,7.63139,2.00848,0.00268,0.03175,0.0029,0.00125,2.26043,5.70647,1.75844,3.076e-05,3.076e-05,3.076e-05
2,4.82012,2.74459,7.89516,1.91523,0.00304,0.03175,0.00353,0.00187,2.28383,5.61148,1.72064,6.85248e-05,6.85248e-05,6.85248e-05
3,6.27365,2.74532,7.88968,1.93295,0,0,0,0,2.08489,6.02191,1.55768,0.000105528,0.000105528,0.000105528
4,8.07235,2.29993,4.4702,1.65195,0.18908,0.11227,0.13,0.0924,1.66783,14.8378,1.29078,0.000141771,0.000141771,0.000141771
5,10.8896,1.69465,3.29621,1.30065,0.13384,0.36508,0.17315,0.11747,1.57676,10.1869,1.20674,0.000177251,0.000177251,0.000177251
6,12.8005,1.49602,2.90379,1.22608,0.41692,0.26672,0.1854,0.11239,1.61195,10.554,1.21419,0.000211971,0.000211971,0.000211971
7,14.598,1.47106,2.41795,1.16995,0.3558,0.42023,0.20901,0.12191,1.47971,7.10039,1.1591,0.000245929,0.000245929,0.000245929
8,16.5025,1.39059,2.35056,1.151,0.3317,0.42699,0.24225,0.15558,1.31358,5.66824,1.07331,0.000279126,0.000279126,0.000279126
9,27.64,1.2988,2.27808,1.13362,0.31603,0.50529,0.30902,0.19148,1.32716,4.2621,1.03818,0.000311562,0.000311562,0.000311562
10,34.0237,1.23406,2.06481,1.05305,0.33223,0.69451,0.47571,0.29896,1.323,3.8286,1.03847,0.000343236,0.000343236,0.000343236
11,35.8354,1.31987,2.04999,1.07672,0.56059,0.46241,0.38875,0.22973,1.36845,3.61534,1.05256,0.000374149,0.000374149,0.000374149
12,37.5461,1.328,1.94461,1.08381,0.34944,0.49754,0.3878,0.20382,1.46374,3.89758,1.0564,0.000404301,0.000404301,0.000404301
13,39.2314,1.12995,1.78974,1.01612,0.44262,0.59456,0.39746,0.19328,1.56644,3.37531,1.10499,0.000433691,0.000433691,0.000433691
14,40.8795,1.29197,1.97817,1.04979,0.44262,0.59456,0.39746,0.19328,1.56644,3.37531,1.10499,0.00046232,0.00046232,0.00046232
15,43.0487,1.26765,1.79777,1.06959,0.3634,0.70875,0.40845,0.20193,1.55217,2.67933,1.1108,0.000490188,0.000490188,0.000490188
16,47.9627,1.25136,1.75673,1.04487,0.40405,0.66729,0.41125,0.21177,1.55215,2.51399,1.12477,0.000517295,0.000517295,0.000517295
17,49.7476,1.18968,1.58053,1.03719,0.46014,0.58655,0.43669,0.22312,1.6388,2.28004,1.16054,0.00054364,0.00054364,0.00054364
18,51.4756,1.22446,1.7014,1.06527,0.46014,0.58655,0.43669,0.22312,1.6388,2.28004,1.16054,0.000569224,0.000569224,0.000569224
