epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.028,3.87707,2.53229,1.21842,0.09384,0.34573,0.08482,0.02603,3.32908,4.72409,1.00231,0.00052,0.00052,0.00052
2,374.839,3.29701,1.56392,1.00432,0.04615,0.08991,0.01584,0.00369,4.6071,49.2761,1.33362,0.00103377,0.00103377,0.00103377
3,552.181,3.02914,1.52837,0.98431,0.04939,0.18599,0.03768,0.01183,3.2907,3.63238,1.00972,0.0015208,0.0015208,0.0015208
4,739.867,3.06215,1.38786,0.9563,0.38127,0.42903,0.30336,0.09651,2.92819,2.16949,0.96927,0.0018515,0.0018515,0.0018515
